,city,company_full_names,company_name,create_time,positionId,positionName,salary,salary_max,salary_min,comp_id,city_id,pos_class
1066,南京,南京贝优教育科技有限公司,贝优科技,2018-04-27,4245835,python工程师,15k-25k,25000,15000,441,23,普通
1067,深圳,顺丰科技有限公司,顺丰科技有限公司,2018-05-04,4517313,Python开发工程师（人工智能业务）,15k-30k,30000,15000,407,19,普通
1068,北京,北京首都在线科技股份有限公司,CDS,2018-05-04,4000250,python实习生（可转正）,2k-4k,4000,2000,101,20,初级
1069,北京,北京江山互动网络科技有限公司,江山互动,2018-04-30,4042265,python开发工程师,8k-16k,16000,8000,1079,20,普通
1070,北京,积善科技（北京）有限公司,积善科技,2018-04-27,4207242,Python开发工程师,12k-16k,16000,12000,6,20,普通
1071,北京,北京趣活科技有限公司,趣活美食送,2018-04-16,2068310,Python开发工程师,10k-20k,20000,10000,671,20,普通
1072,杭州,杭州微著网络有限公司,辅导君,2018-05-04,504931,Python工程师,8k-12k,12000,8000,375,21,普通
1073,广州,上海触乐信息科技有限公司,触宝,2018-05-04,4359113,【广州】后端开发工程师（Python）,15k-25k,25000,15000,839,12,普通
1074,上海,上海叮诺科技有限公司,叮诺科技,2018-05-03,4312152,Python工程师,10K-20K,20000,10000,971,22,普通
1075,上海,上海寰享网络科技有限公司,ELICO-CORP,2018-04-16,402987,Python工程师,5k-10k,10000,5000,342,22,普通
1076,上海,深圳市雁联计算系统有限公司,雁联计算,2018-04-13,3736946,Python开发工程师,10k-17k,17000,10000,709,22,普通
1077,天津,天津市安博伟业科技有限公司,安博伟业,2018-05-03,4474119,Python工程师（数据方向）,4k-8k,8000,4000,615,26,普通
1078,上海,仟传网络科技（上海）有限公司,Target Social,2018-05-02,3409230,Python 工程师（数据平台）,10k-20k,20000,10000,756,22,普通
1079,北京,新余嘉壮投资管理有限公司,新余嘉壮,2018-05-02,3976997,Python开发工程师,10k-15k,15000,10000,920,20,普通
1080,上海,仟传网络科技（上海）有限公司,Target Social,2018-05-02,3409230,Python 工程师（数据平台）,10k-20k,20000,10000,756,22,普通
1081,北京,新余嘉壮投资管理有限公司,新余嘉壮,2018-05-02,3976997,Python开发工程师,10k-15k,15000,10000,920,20,普通
1082,西安,西安美刻信息科技有限公司,泥巴创客空间,2018-04-28,3941501,python开发工程师,7k-10k,10000,7000,21,18,普通
1083,杭州,曲正科技（杭州）有限责任公司,曲正科技,2018-04-27,4496532,python开发工程师,8k-16k,16000,8000,701,21,普通
1084,北京,云量科技（北京）有限责任公司,云量科技,2018-04-12,4278103,Python开发工程师,10k-15k,15000,10000,337,20,普通
